기준연월,시군구명,가맹점수,휴업가맹점수,폐업가맹점수
202108,금산군,4056,486,16
202108,논산시,8420,944,49
202108,당진시,10612,928,71
202108,보령시,7819,827,29
202108,부여군,3572,392,21
202108,서산시,11338,1011,64
202108,서천군,3487,357,20
202108,아산시,18275,1734,115
202108,예산군,5384,557,30
202108,천안시 동남구,17342,1774,101
202108,천안시 서북구,23445,2268,221
202108,청양군,1760,210,5
202108,태안군,5786,707,17
202108,홍성군,6801,673,39
202109,계룡시,1902,194,16
202109,공주시,7622,840,44
202109,금산군,4065,477,17
202109,논산시,8429,924,48
202109,당진시,10674,949,65
202109,보령시,7835,834,57
202109,부여군,3583,389,20
202109,서산시,11366,1018,92
202109,서천군,3499,334,12
202109,아산시,18301,1770,176
202109,예산군,5391,548,33
202109,천안시 동남구,17396,1803,112
202109,천안시 서북구,23529,2279,192
202109,청양군,1764,206,12
202109,태안군,5787,708,47
202109,홍성군,6812,671,55
202110,계룡시,1911,189,13
202110,공주시,7658,819,36
202110,금산군,4079,467,13
202110,논산시,8465,923,49
202110,당진시,10707,961,82
202110,보령시,7861,795,40
202110,부여군,3596,386,13
202110,서산시,11405,1038,80
202110,서천군,3499,344,24
202110,아산시,18348,1790,163
202110,예산군,5406,543,33
202110,천안시 동남구,17416,1835,129
202110,천안시 서북구,23640,2284,198
202110,청양군,1778,207,9
202110,태안군,5807,704,31
202110,홍성군,6836,674,41
202111,계룡시,1924,194,14
202111,공주시,7682,823,57
202111,금산군,4081,456,19
202111,논산시,8457,920,80
202111,당진시,10751,993,86
202111,보령시,7880,798,61
202111,부여군,3602,381,31
202111,서산시,11443,1049,80
202111,서천군,3512,340,22
202111,아산시,18403,1785,170
202111,예산군,5422,555,37
202111,천안시 동남구,17443,1863,146
202111,천안시 서북구,23698,2342,244
202111,청양군,1792,198,6
202111,태안군,5809,729,49
202111,홍성군,6859,681,42
202112,계룡시,1922,201,20
202112,공주시,7709,816,51
202112,금산군,4101,462,30
202112,논산시,8462,899,68
202112,당진시,10808,1004,88
202112,보령시,7897,806,70
202112,부여군,3613,380,19
202112,서산시,11484,1041,92
202112,서천군,3527,339,21
202112,아산시,18455,1798,180
202112,예산군,5443,548,41
202112,천안시 동남구,17483,1943,162
202112,천안시 서북구,23811,2379,264
202112,청양군,1800,192,9
202112,태안군,5832,721,32
202112,홍성군,6877,697,46
