기준연월,고객광역시군구명,전체이용건수,전체이용금액
201902,인천광역시,173013,4821803525
201903,경상남도,95206,2778368281
201903,광주광역시,50814,1335127759
201903,대구광역시,61747,1939016764
201903,전라북도,130499,4016237525
201904,대전광역시,282209,9590319744
201904,부산광역시,87892,2710549159
201904,세종특별자치시,93868,3282785225
201904,전라남도,63432,1869996729
201905,강원도,40129,1085369374
201905,울산광역시,35786,1182813497
201905,제주특별자치도,14985,380805505
201905,충청북도,141218,4275149641
201906,경기도,1332676,37088234791
201906,경상북도,75352,2197814447
201906,서울특별시,702852,21717236977
201906,인천광역시,236538,6242930160
201907,경상남도,94488,2751898856
201907,광주광역시,49603,1357293973
201907,대구광역시,66408,2050059064
201907,전라북도,129057,3797163461
201908,대전광역시,306209,9573235649
201908,부산광역시,87596,2833514085
201908,세종특별자치시,100674,3348438680
201908,전라남도,63569,1853390722
201909,강원도,36647,948230805
201909,울산광역시,30623,913447656
201909,제주특별자치도,13279,330680973
201909,충청북도,128659,3820476255
201910,경상남도,98242,2893945927
201910,광주광역시,53371,1512548077
201910,대구광역시,71354,2163238850
201910,전라북도,135511,4241474345
201911,대전광역시,265834,8823443303
201911,부산광역시,85741,2862278426
201911,세종특별자치시,87412,3164044131
201911,전라남도,61176,1817261090
201912,강원도,32905,903408972
201912,울산광역시,28753,1085380211
201912,제주특별자치도,11961,304273855
201912,충청북도,116277,3708602225
202001,경상남도,80906,2453685467
202001,광주광역시,43370,1202857164
202001,대구광역시,55652,1793212070
202001,전라북도,114418,3593846881
202002,대전광역시,201042,6683622943
202002,부산광역시,66229,2193355845
202002,세종특별자치시,69212,2444948518
202002,전라남도,41585,1323024962
202003,강원도,24000,671998289
202003,울산광역시,23535,731642858
202003,제주특별자치도,8363,271799422
202003,충청북도,96230,2855379059
202004,경기도,1052281,31359292143
202004,경상북도,63515,1825521285
202004,서울특별시,562003,18168001420
202004,인천광역시,179685,5312916401
202005,경상남도,87620,2453945015
202005,광주광역시,45488,1244984246
202005,대구광역시,59645,1775416795
202005,전라북도,118396,3559291612
202006,대전광역시,256164,7953788499
202006,부산광역시,79445,2434099251
202006,세종특별자치시,83970,2727616181
202006,전라남도,49122,1522555873
202007,강원도,30770,783476793
